Order Number,Order Date,Item Name,Quantity,Product Price,Total products,Order_Date_Only,Order ID,Price
16110,2019-08-03 19:28:00,Saag Paneer,1.0,5.95,8,2019-08-03,,
16110,2019-08-03 19:28:00,Mint Sauce,2.0,0.5,8,2019-08-03,,
16110,2019-08-03 19:28:00,Chicken Biryani,1.0,9.95,8,2019-08-03,,
16110,2019-08-03 19:28:00,Garlic Naan,1.0,2.95,8,2019-08-03,,
16110,2019-08-03 19:28:00,Plain Naan,1.0,2.6,8,2019-08-03,,
16110,2019-08-03 19:28:00,Tandoori Chicken Masala,1.0,8.95,8,2019-08-03,,
16109,2019-08-03 19:26:00,Plain Papadum,4.0,0.8,7,2019-08-03,,
16109,2019-08-03 19:26:00,Red Sauce,2.0,0.5,7,2019-08-03,,
16109,2019-08-03 19:26:00,Chicken Tikka Masala,1.0,8.95,7,2019-08-03,,
16109,2019-08-03 19:26:00,Madras - Chicken Tikka,1.0,7.95,7,2019-08-03,,
16109,2019-08-03 19:26:00,Mushroom Rice,2.0,3.95,7,2019-08-03,,
16109,2019-08-03 19:26:00,Garlic Naan,1.0,2.95,7,2019-08-03,,
16109,2019-08-03 19:26:00,Bombay Aloo,1.0,5.95,7,2019-08-03,,
16108,2019-08-03 19:25:00,Onion Bhajee,1.0,3.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Sheek Kebab,1.0,4.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Plain Papadum,8.0,0.8,15,2019-08-03,,
16108,2019-08-03 19:25:00,Mango Chutney,2.0,0.5,15,2019-08-03,,
16108,2019-08-03 19:25:00,Mint Sauce,2.0,0.5,15,2019-08-03,,
16108,2019-08-03 19:25:00,Onion Chutney,1.0,0.5,15,2019-08-03,,
16108,2019-08-03 19:25:00,Chicken Tikka (Main),1.0,8.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Korma - Chicken,1.0,8.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Chicken Tikka Masala,1.0,8.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Plain Rice,1.0,2.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Pilau Rice,1.0,2.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Keema Naan,2.0,2.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,French Fries,1.0,3.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Chicken Biryani,1.0,9.95,15,2019-08-03,,
16108,2019-08-03 19:25:00,Mushroom Rice,1.0,3.95,15,2019-08-03,,
16107,2019-08-03 19:16:00,Onion Bhajee,1.0,3.95,4,2019-08-03,,
16107,2019-08-03 19:16:00,Korma - Chicken,1.0,8.95,4,2019-08-03,,
16107,2019-08-03 19:16:00,Peshwari Naan,1.0,2.95,4,2019-08-03,,
16107,2019-08-03 19:16:00,Pilau Rice,1.0,2.95,4,2019-08-03,,
16106,2019-08-03 18:37:00,Chicken Tikka (Main),1.0,8.95,3,2019-08-03,,
16106,2019-08-03 18:37:00,Chicken Tikka Masala,1.0,8.95,3,2019-08-03,,
16106,2019-08-03 18:37:00,Meat Samosa,1.0,3.95,3,2019-08-03,,
16105,2019-08-03 18:36:00,Plain Papadum,2.0,0.8,9,2019-08-03,,
16105,2019-08-03 18:36:00,Mango Chutney,1.0,0.5,9,2019-08-03,,
16105,2019-08-03 18:36:00,Mint Sauce,1.0,0.5,9,2019-08-03,,
16105,2019-08-03 18:36:00,Red Sauce,1.0,0.5,9,2019-08-03,,
16105,2019-08-03 18:36:00,Keema Rice,1.0,3.95,9,2019-08-03,,
16105,2019-08-03 18:36:00,Keema Naan,1.0,2.95,9,2019-08-03,,
16105,2019-08-03 18:36:00,Chicken Chilli Garlic,1.0,9.95,9,2019-08-03,,
16105,2019-08-03 18:36:00,Lamb Hari Mirch,1.0,9.95,9,2019-08-03,,
16105,2019-08-03 18:36:00,Mushroom Bhajee,1.0,5.95,9,2019-08-03,,
16104,2019-08-03 18:36:00,Curry - Chicken,1.0,7.95,4,2019-08-03,,
16104,2019-08-03 18:36:00,Bombay Aloo,1.0,5.95,4,2019-08-03,,
16104,2019-08-03 18:36:00,Plain Naan,1.0,2.6,4,2019-08-03,,
16104,2019-08-03 18:36:00,Vegetable Rice,1.0,3.95,4,2019-08-03,,
16103,2019-08-03 18:34:00,Chicken Tikka Biryani,1.0,10.95,2,2019-08-03,,
16103,2019-08-03 18:34:00,Mixed Starter,1.0,5.95,2,2019-08-03,,
16102,2019-08-03 18:32:00,Onion Bhajee,1.0,3.95,4,2019-08-03,,
16102,2019-08-03 18:32:00,Chicken Tikka Biryani,1.0,10.95,4,2019-08-03,,
16102,2019-08-03 18:32:00,Bhuna - Chicken Tikka,1.0,8.95,4,2019-08-03,,
16102,2019-08-03 18:32:00,Mushroom Rice,1.0,3.95,4,2019-08-03,,
16101,2019-08-03 18:12:00,Keema Rice,1.0,3.95,3,2019-08-03,,
16101,2019-08-03 18:12:00,Madras - Lamb,1.0,7.95,3,2019-08-03,,
16101,2019-08-03 18:12:00,Bombay Aloo,1.0,5.95,3,2019-08-03,,
16100,2019-08-03 18:00:00,Masala Sauce,1.0,3.95,9,2019-08-03,,
16100,2019-08-03 18:00:00,Mushroom Rice,1.0,3.95,9,2019-08-03,,
16100,2019-08-03 18:00:00,Bottle Coke,1.0,2.95,9,2019-08-03,,
16100,2019-08-03 18:00:00,Peshwari Naan,1.0,2.95,9,2019-08-03,,
16100,2019-08-03 18:00:00,Tandoori Mixed Grill,2.0,11.95,9,2019-08-03,,
16100,2019-08-03 18:00:00,Plain Papadum,3.0,0.8,9,2019-08-03,,
16100,2019-08-03 18:00:00,Mint Sauce,1.0,0.5,9,2019-08-03,,
16100,2019-08-03 18:00:00,Mango Chutney,1.0,0.5,9,2019-08-03,,
16100,2019-08-03 18:00:00,Korma Sauce,1.0,3.95,9,2019-08-03,,
16099,2019-08-03 17:58:00,Pathia - Prawn,1.0,9.95,5,2019-08-03,,
16099,2019-08-03 17:58:00,Chicken Biryani,1.0,9.95,5,2019-08-03,,
16099,2019-08-03 17:58:00,Peshwari Naan,2.0,2.95,5,2019-08-03,,
16099,2019-08-03 17:58:00,Plain Papadum,1.0,0.8,5,2019-08-03,,
16099,2019-08-03 17:58:00,Mint Sauce,1.0,0.5,5,2019-08-03,,
16098,2019-08-03 17:57:00,Chicken Tikka Jalfrezi,1.0,8.95,6,2019-08-03,,
16098,2019-08-03 17:57:00,Bhuna - Lamb,1.0,8.95,6,2019-08-03,,
16098,2019-08-03 17:57:00,Special Fried Rice,2.0,3.95,6,2019-08-03,,
16098,2019-08-03 17:57:00,Peshwari Naan,1.0,2.95,6,2019-08-03,,
16098,2019-08-03 17:57:00,Aloo Gobi,1.0,5.95,6,2019-08-03,,
16098,2019-08-03 17:57:00,Chicken Tikka Masala,1.0,8.95,6,2019-08-03,,
16097,2019-08-03 17:52:00,Meat Samosa,1.0,3.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Mixed Vegetable Curry,1.0,5.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Dupiaza - Lamb,1.0,8.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Lemon Rice,1.0,3.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Methi - Lamb,1.0,8.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Pilau Rice,1.0,2.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Garlic Naan,1.0,2.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Onion Bhajee,1.0,3.95,9,2019-08-03,,
16097,2019-08-03 17:52:00,Spicy Papadum,1.0,0.8,9,2019-08-03,,
16096,2019-08-03 17:18:00,Plain Naan,1.0,2.6,5,2019-08-03,,
16096,2019-08-03 17:18:00,Pilau Rice,1.0,2.95,5,2019-08-03,,
16096,2019-08-03 17:18:00,Chicken Tikka Masala,1.0,8.95,5,2019-08-03,,
16096,2019-08-03 17:18:00,Bhuna - Lamb,1.0,8.95,5,2019-08-03,,
16096,2019-08-03 17:18:00,Plain Papadum,2.0,0.8,5,2019-08-03,,
16095,2019-08-03 16:21:00,Lamb Biryani,1.0,9.95,2,2019-08-03,,
16095,2019-08-03 16:21:00,Plain Naan,2.0,2.6,2,2019-08-03,,
16094,2019-08-02 20:23:00,Lamb Tikka,1.0,4.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Onion Bhajee,1.0,3.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Saag Paneer,1.0,5.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Chicken Tikka Masala,1.0,8.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Keema Rice,1.0,3.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Rogon - Lamb,1.0,8.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Chicken Tikka Karahi,1.0,9.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Pilau Rice,1.0,2.95,9,2019-08-02,,
16094,2019-08-02 20:23:00,Bombay Aloo,1.0,5.95,9,2019-08-02,,
16093,2019-08-02 20:18:00,Onion Bhajee,1.0,3.95,6,2019-08-02,,
16093,2019-08-02 20:18:00,French Fries,1.0,3.95,6,2019-08-02,,
16093,2019-08-02 20:18:00,Chicken Tikka Masala,1.0,8.95,6,2019-08-02,,
16093,2019-08-02 20:18:00,Korma - Chicken,1.0,8.95,6,2019-08-02,,
16093,2019-08-02 20:18:00,Plain Naan,1.0,2.6,6,2019-08-02,,
16093,2019-08-02 20:18:00,Pilau Rice,1.0,2.95,6,2019-08-02,,
16092,2019-08-02 19:33:00,Aloo Chaat,1.0,4.95,5,2019-08-02,,
16092,2019-08-02 19:33:00,Chicken Tikka Masala,1.0,8.95,5,2019-08-02,,
16092,2019-08-02 19:33:00,Garlic Naan,1.0,2.95,5,2019-08-02,,
16092,2019-08-02 19:33:00,Pilau Rice,1.0,2.95,5,2019-08-02,,
16092,2019-08-02 19:33:00,Bhuna - Chicken,1.0,8.95,5,2019-08-02,,
16091,2019-08-02 19:19:00,Plain Papadum,3.0,0.8,5,2019-08-02,,
16091,2019-08-02 19:19:00,Lemon Rice,1.0,3.95,5,2019-08-02,,
16091,2019-08-02 19:19:00,Lamb Mysore,1.0,9.95,5,2019-08-02,,
16091,2019-08-02 19:19:00,Dhansak - Chicken,1.0,8.95,5,2019-08-02,,
16091,2019-08-02 19:19:00,Chapati,1.0,1.95,5,2019-08-02,,
16090,2019-08-02 19:14:00,Lamb Biryani,2.0,9.95,2,2019-08-02,,
16090,2019-08-02 19:14:00,Peshwari Naan,1.0,2.95,2,2019-08-02,,
16089,2019-08-02 18:41:00,Onion Bhajee,1.0,3.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Aloo Gobi,1.0,5.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Chicken Biryani,1.0,9.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Madras - Chicken,1.0,7.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Korma - Chicken,1.0,8.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Chicken Balti,1.0,9.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Chicken Tikka Chilli Masala,1.0,8.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Lal Mirch Chicken,1.0,9.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Korma - Prawn,1.0,9.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Korma - King Prawn,1.0,12.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Plain Rice,1.0,2.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Mushroom Rice,2.0,3.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Garlic Naan,1.0,2.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Keema Naan,1.0,2.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Peshwari Naan,1.0,2.95,21,2019-08-02,,
16089,2019-08-02 18:41:00,Plain Papadum,10.0,0.8,21,2019-08-02,,
16089,2019-08-02 18:41:00,Spicy Papadum,2.0,0.8,21,2019-08-02,,
16089,2019-08-02 18:41:00,Mango Chutney,2.0,0.5,21,2019-08-02,,
16089,2019-08-02 18:41:00,Onion Chutney,6.0,0.5,21,2019-08-02,,
16089,2019-08-02 18:41:00,Red Sauce,4.0,0.5,21,2019-08-02,,
16089,2019-08-02 18:41:00,Mint Sauce,2.0,0.5,21,2019-08-02,,
16088,2019-08-02 18:18:00,Vindaloo - Chicken,1.0,7.95,7,2019-08-02,,
16088,2019-08-02 18:18:00,Madras - Chicken Tikka,1.0,7.95,7,2019-08-02,,
16088,2019-08-02 18:18:00,Plain Rice,2.0,2.95,7,2019-08-02,,
16088,2019-08-02 18:18:00,Plain Naan,2.0,2.6,7,2019-08-02,,
16088,2019-08-02 18:18:00,Madras - Chicken,1.0,7.95,7,2019-08-02,,
16088,2019-08-02 18:18:00,Plain Papadum,4.0,0.8,7,2019-08-02,,
16088,2019-08-02 18:18:00,Bombay Aloo,1.0,5.95,7,2019-08-02,,
16087,2019-08-02 17:57:00,Chicken Tikka Jalfrezi,1.0,8.95,5,2019-08-02,,
16087,2019-08-02 17:57:00,Pilau Rice,1.0,2.95,5,2019-08-02,,
16087,2019-08-02 17:57:00,Plain Papadum,2.0,0.8,5,2019-08-02,,
16087,2019-08-02 17:57:00,Spicy Papadum,1.0,0.8,5,2019-08-02,,
16087,2019-08-02 17:57:00,Vindaloo Sauce,1.0,3.95,5,2019-08-02,,
16086,2019-08-02 17:43:00,Onion Bhajee,1.0,3.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Mango Chutney,1.0,0.5,8,2019-08-02,,
16086,2019-08-02 17:43:00,Meat Samosa,1.0,3.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Chicken Pakora,1.0,5.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Lamb Biryani,1.0,9.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Chicken Biryani,1.0,9.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Chicken Tikka Biryani,1.0,10.95,8,2019-08-02,,
16086,2019-08-02 17:43:00,Aloo Gobi,1.0,5.95,8,2019-08-02,,
16085,2019-08-02 17:26:00,Chicken Tikka Jalfrezi,1.0,8.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Bombay Aloo,1.0,5.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Chana Masala,1.0,5.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Dupiaza - Chicken,1.0,8.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Keema Naan,1.0,2.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Pilau Rice,1.0,2.95,7,2019-08-02,,
16085,2019-08-02 17:26:00,Mushroom Rice,1.0,3.95,7,2019-08-02,,
16084,2019-08-02 14:11:00,Muttar Paneer,1.0,5.95,4,2019-08-02,,
16084,2019-08-02 14:11:00,Garlic Naan,1.0,2.95,4,2019-08-02,,
16084,2019-08-02 14:11:00,Mushroom Rice,1.0,3.95,4,2019-08-02,,
16084,2019-08-02 14:11:00,Plain Naan,1.0,2.6,4,2019-08-02,,
16083,2019-08-02 11:35:00,Chicken Tikka (Main),2.0,8.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Tandoori Mixed Grill,1.0,11.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Chicken Tikka Masala,1.0,8.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Curry - Chicken,1.0,7.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Bombay Aloo,2.0,5.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Muttar Paneer,1.0,5.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Plain Naan,4.0,2.6,15,2019-08-02,,
16083,2019-08-02 11:35:00,Pilau Rice,4.0,2.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Keema Rice,1.0,3.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Aloo Chaat,1.0,4.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Chicken Balti,1.0,9.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Chicken Shashlick,1.0,9.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Vegetable Balti,1.0,9.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Cauliflower Bhajee,1.0,5.95,15,2019-08-02,,
16083,2019-08-02 11:35:00,Vindaloo - Chicken,1.0,7.95,15,2019-08-02,,
16082,2019-08-01 20:42:00,Butter Chicken,1.0,9.95,2,2019-08-01,,
16082,2019-08-01 20:42:00,Prawn Balti,1.0,10.95,2,2019-08-01,,
16081,2019-08-01 19:51:00,Tandoori Chicken Masala,1.0,8.95,9,2019-08-01,,
16081,2019-08-01 19:51:00,Curry - Chicken,1.0,7.95,9,2019-08-01,,
16081,2019-08-01 19:51:00,Aloo Gobi,1.0,5.95,9,2019-08-01,,
16081,2019-08-01 19:51:00,Plain Naan,1.0,2.6,9,2019-08-01,,
16081,2019-08-01 19:51:00,Pilau Rice,1.0,2.95,9,2019-08-01,,
16081,2019-08-01 19:51:00,Plain Papadum,1.0,0.8,9,2019-08-01,,
16081,2019-08-01 19:51:00,Red Sauce,1.0,0.5,9,2019-08-01,,
16081,2019-08-01 19:51:00,Mango Chutney,1.0,0.5,9,2019-08-01,,
16081,2019-08-01 19:51:00,Mixed Starter,1.0,5.95,9,2019-08-01,,
16080,2019-08-01 19:16:00,Madras - Lamb,1.0,7.95,6,2019-08-01,,
16080,2019-08-01 19:16:00,Mushroom Rice,1.0,3.95,6,2019-08-01,,
16080,2019-08-01 19:16:00,French Fries,1.0,3.95,6,2019-08-01,,
16080,2019-08-01 19:16:00,Korma - Chicken,2.0,8.95,6,2019-08-01,,
16080,2019-08-01 19:16:00,Plain Naan,1.0,2.6,6,2019-08-01,,
16080,2019-08-01 19:16:00,Garlic Naan,1.0,2.95,6,2019-08-01,,
16079,2019-08-01 18:45:00,Plain Papadum,4.0,0.8,5,2019-08-01,,
16079,2019-08-01 18:45:00,Pathia - Chicken Tikka,2.0,8.95,5,2019-08-01,,
16079,2019-08-01 18:45:00,COBRA ( LARGE ),1.0,5.95,5,2019-08-01,,
16079,2019-08-01 18:45:00,House white wine 75cl,1.0,17.95,5,2019-08-01,,
16079,2019-08-01 18:45:00,Pilau Rice,2.0,2.95,5,2019-08-01,,
16078,2019-08-01 18:41:00,Lamb Tikka,1.0,4.95,6,2019-08-01,,
16078,2019-08-01 18:41:00,Lime Pickle,1.0,0.5,6,2019-08-01,,
16078,2019-08-01 18:41:00,Onion Chutney,1.0,0.5,6,2019-08-01,,
16078,2019-08-01 18:41:00,Plain Rice,1.0,2.95,6,2019-08-01,,
16078,2019-08-01 18:41:00,King Prawn Shaslick,1.0,12.95,6,2019-08-01,,
16078,2019-08-01 18:41:00,COBRA ( LARGE ),2.0,5.95,6,2019-08-01,,
16077,2019-08-01 18:21:00,Chicken Tikka Biryani,1.0,10.95,3,2019-08-01,,
16077,2019-08-01 18:21:00,Stuffed Paratha,1.0,3.95,3,2019-08-01,,
16077,2019-08-01 18:21:00,Meat Samosa,1.0,3.95,3,2019-08-01,,
16076,2019-08-01 18:02:00,Plain Rice,1.0,2.95,7,2019-08-01,,
16076,2019-08-01 18:02:00,Plain Naan,2.0,2.6,7,2019-08-01,,
16076,2019-08-01 18:02:00,Mixed Vegetable Curry,1.0,5.95,7,2019-08-01,,
16076,2019-08-01 18:02:00,Aloo Gobi,1.0,5.95,7,2019-08-01,,
16076,2019-08-01 18:02:00,Curry Sauce,1.0,3.95,7,2019-08-01,,
16076,2019-08-01 18:02:00,Mango Chutney,1.0,0.5,7,2019-08-01,,
16076,2019-08-01 18:02:00,Raitha,1.0,2.95,7,2019-08-01,,
16075,2019-08-01 17:59:00,Madras - Chicken,1.0,7.95,4,2019-08-01,,
16075,2019-08-01 17:59:00,Plain Naan,1.0,2.6,4,2019-08-01,,
16075,2019-08-01 17:59:00,Bottle Diet Coke,1.0,2.95,4,2019-08-01,,
16075,2019-08-01 17:59:00,Plain Rice,1.0,2.95,4,2019-08-01,,
16074,2019-08-01 17:34:00,Bombay Aloo,1.0,5.95,4,2019-08-01,,
16074,2019-08-01 17:34:00,Chicken Tikka Jalfrezi,1.0,8.95,4,2019-08-01,,
16074,2019-08-01 17:34:00,Mushroom Rice,1.0,3.95,4,2019-08-01,,
16074,2019-08-01 17:34:00,Plain Papadum,2.0,0.8,4,2019-08-01,,
16073,2019-08-01 13:33:00,Cauliflower Bhajee,1.0,5.95,4,2019-08-01,,
16073,2019-08-01 13:33:00,Dhansak - Chicken,1.0,8.95,4,2019-08-01,,
16073,2019-08-01 13:33:00,Tarka Dall,2.0,5.95,4,2019-08-01,,
16073,2019-08-01 13:33:00,Saag Dall,1.0,5.95,4,2019-08-01,,
16072,2019-08-01 12:33:00,Vindaloo - Chicken,2.0,7.95,4,2019-08-01,,
16072,2019-08-01 12:33:00,Special Fried Rice,1.0,3.95,4,2019-08-01,,
16072,2019-08-01 12:33:00,Plain Naan,1.0,2.6,4,2019-08-01,,
16072,2019-08-01 12:33:00,Bombay Aloo,1.0,5.95,4,2019-08-01,,
16071,2019-07-31 21:10:00,Lamb Biryani,1.0,9.95,4,2019-07-31,,
16071,2019-07-31 21:10:00,Chicken Biryani,1.0,9.95,4,2019-07-31,,
16071,2019-07-31 21:10:00,Bombay Aloo,1.0,5.95,4,2019-07-31,,
16071,2019-07-31 21:10:00,Peshwari Naan,1.0,2.95,4,2019-07-31,,
16069,2019-07-31 20:35:00,Dhansak - Lamb,1.0,8.95,4,2019-07-31,,
16069,2019-07-31 20:35:00,Korma - Chicken,1.0,8.95,4,2019-07-31,,
16069,2019-07-31 20:35:00,Plain Naan,1.0,2.6,4,2019-07-31,,
16069,2019-07-31 20:35:00,Pilau Rice,1.0,2.95,4,2019-07-31,,
16068,2019-07-31 20:11:00,Pilau Rice,2.0,2.95,4,2019-07-31,,
16068,2019-07-31 20:11:00,Chicken Tikka Masala,2.0,8.95,4,2019-07-31,,
16068,2019-07-31 20:11:00,Madras - Chicken Tikka,1.0,7.95,4,2019-07-31,,
16068,2019-07-31 20:11:00,Onion Bhajee,2.0,3.95,4,2019-07-31,,
16067,2019-07-31 20:05:00,Chicken Tikka Jalfrezi,1.0,8.95,4,2019-07-31,,
16067,2019-07-31 20:05:00,Pilau Rice,1.0,2.95,4,2019-07-31,,
16067,2019-07-31 20:05:00,Plain Naan,1.0,2.6,4,2019-07-31,,
16067,2019-07-31 20:05:00,Green Salad,1.0,2.95,4,2019-07-31,,
16066,2019-07-31 19:54:00,Sheek Kebab,1.0,4.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Vegetable Biryani,1.0,9.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Aloo Chaat,1.0,4.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Madras - King Prawn,1.0,11.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Pilau Rice,2.0,2.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Butter Chicken,1.0,9.95,7,2019-07-31,,
16066,2019-07-31 19:54:00,Plain Papadum,1.0,0.8,7,2019-07-31,,
16065,2019-07-31 19:35:00,Chicken Tikka Masala,1.0,8.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Plain Naan,5.0,2.6,11,2019-07-31,,
16065,2019-07-31 19:35:00,Rogon - Chicken,1.0,8.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Chicken Tikka (Main),1.0,8.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Madras - Chicken Tikka,2.0,7.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Garlic Naan,1.0,2.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Bombay Aloo,1.0,5.95,11,2019-07-31,,
16065,2019-07-31 19:35:00,Saag Aloo,1.0,5.95,11,2019-07-31,,
